ENTRY,DELTAG,UNCERTAINTY,CHARGE,REASON ENERGY COULD NOT BE ESTIMATED,,,,,,
C03217,-227.78,0.389621,-2,,,,,,,
C03218,-35.26,3.10933,0,,,,,,,
C03219,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C03220,37.5,1.5241,0,,,,,,,
C03221,-748.82,3.74397,-3,,,,,,,
C03223,-214.64,1.41115,-2,,,,,,,
C03224,-72.79,2.99212,-1,,,,,,,
C03225,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C03226,164.64,5.06505,-1,,,,,,,
C03227,-116.42,1.1664,0,,,,,,,
C03228,-54.04,1.06016,0,,,,,,,
C03230,-9.17,1.57399,0,,,,,,,
C03231,-840.36,3.58831,-4,,,,,,,
C03232,-361.42,0.333466,-2,,,,,,,
C03233,-214.64,1.41115,-2,,,,,,,
C03235,-112.56,0.957533,-1,,,,,,,
C03236,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03237,-817.2,3.6063,-3,,,,,,,
C03238,2.75,7.2088,0,,,,,,,
C03239,-108.81,0.489865,0,,,,,,,
C03240,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C03241,-94.94,1.28765,0,,,,,,,
C03242,9.49,1.80072,-1,,,,,,,
C03243,5.68,2.79117,0,,,,,,,
C03245,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03246,-798.47,3.78177,-3,,,,,,,
C03248,-83,4.64531,-2,,,,,,,
C03251,-428.46,0.829726,-1,,,,,,,
C03252,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03253,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03254,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers|Unlabled atoms,,,,,,
C03256,-62.75,2.13351,1,,,,,,,
C03259,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03260,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03261,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03262,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03263,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C03264,-120.12,0.420792,-1,,,,,,,
C03267,-431.67,1.3115,-1,,,,,,,
C03268,-742.93,6.60402,0,,,,,,,
C03269,-208.8,1.50363,0,,,,,,,
C03272,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03273,-108.64,0.32954,-1,,,,,,,
C03274,-383.36,0.814148,-1,,,,,,,
C03277,-70.4,1.13379,-1,,,,,,,
C03278,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03279,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C03280,-167.68,2.92438,-1,,,,,,,
C03281,-568.58,3.965,3,,,,,,,
C03282,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03283,-87.28,0.469286,1,,,,,,,
C03284,-86.3,0.306163,0,,,,,,,
C03287,-379.03,0.402619,-1,,,,,,,
C03289,-209.22,1.03211,0,,,,,,,
C03290,-89.09,0.873108,0,,,,,,,
C03291,-393.5,0.57012,-1,,,,,,,
C03292,-103.844,1.73821,-1,,,,,,,
C03293,-252.38,3.20006,-2,,,,,,,
C03294,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03296,-179.58,1.87444,-1,,,,,,,
C03297,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03298,-37.08,1.43697,0,,,,,,,
C03299,-90.32,2.21353,0,,,,,,,
C03300,-46.36,3.12882,0,,,,,,,
C03302,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03303,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03304,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03305,29.771,2.41264,0,,,,,,,
C03306,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03309,-14.36,2.94399,0,,,,,,,
C03310,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03311,46.97,5.07373,0,,,,,,,
C03312,-427.63,3.24387,-1,,,,,,,
C03313,2.511,2.6484,0,,,,,,,
C03314,-110.61,2.74409,-1,,,,,,,
C03315,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03317,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03318,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03319,-686.89,2.92935,-2,,,,,,,
C03323,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers|Unlabled atoms,,,,,,
C03325,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C03326,-204.78,2.69,-1,,,,,,,
C03328,-199.37,0.485,-2,,,,,,,
C03329,-21.76,4.61395,0,,,,,,,
C03330,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03336,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03338,-90.49,1.34273,0,,,,,,,
C03339,-584.4,0.380214,-3,,,,,,,
C03340,-133.7,1.34588,-2,,,,,,,
C03341,-114.7,0.355156,0,,,,,,,
C03342,-258.18,0.742035,-1,,,,,,,
C03343,-122,1.18278,-1,,,,,,,
C03344,-812.8,3.58779,-3,,,,,,,
C03345,-762.53,3.58421,-3,,,,,,,
C03347,-92.55,1.82063,-1,,,,,,,
C03348,-142.21,1.33262,0,,,,,,,
C03349,-125.143,0.807143,0,,,,,,,
C03351,-47.76,0.886404,0,,,,,,,
C03352,-33.11,0.957303,0,,,,,,,
C03354,3.73,0.81687,1,,,,,,,
C03356,-408.32,0.449945,-2,,,,,,,
C03357,-813.17,3.87264,-3,,,,,,,
C03359,-16.89,1.12652,0,,,,,,,
C03360,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C03361,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03363,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03365,-205.31,1.50162,0,,,,,,,
C03366,-334.58,0.595216,0,,,,,,,
C03367,-535.24,4.52507,0,,,,,,,
C03368,-653.41,5.77969,2,,,,,,,
C03371,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03372,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03373,-297.44,1.95392,0,,,,,,,
C03374,-215.36,7.32205,-2,,,,,,,
C03375,3.17,1.11408,3,,,,,,,
C03376,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03377,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03378,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03379,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03380,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03381,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03382,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03383,-215.78,1.15083,0,,,,,,,
C03384,-430.78,1.50566,-1,,,,,,,
C03387,-206.54,1.23921,0,,,,,,,
C03391,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03392,-66.88,2.06641,0,,,,,,,
C03393,-408.32,0.449945,-2,,,,,,,
C03394,-357.08,0.418843,-1,,,,,,,
C03395,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03396,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03397,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03399,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03400,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03401,-80.61,0.437511,0,,,,,,,
C03402,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03404,-78.09,1.03006,0,,,,,,,
C03405,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03406,-224.81,1.83066,-1,,,,,,,
C03407,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03408,-255.85,1.60182,-1,,,,,,,
C03409,-158.8,1.47414,-1,,,,,,,
C03410,-362.63,1.61182,-1,,,,,,,
C03411,-291.63,1.66064,0,,,,,,,
C03412,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03413,-43.6,2.39444,2,,,,,,,
C03414,-132.43,1.71275,-2,,,,,,,
C03415,-191.47,0.850035,-1,,,,,,,
C03416,-30.29,3.23926,0,,,,,,,
C03417,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C03418,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03419,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03422,-599.22,5.50852,0,,,,,,,
C03423,-84.58,3.20906,0,,,,,,,
C03424,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03425,-34.32,1.40385,0,,,,,,,
C03426,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03427,-246.69,3.97541,-2,,,,,,,
C03428,-302.87,3.09299,-2,,,,,,,
C03429,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03430,-351.61,3.36166,0,,,,,,,
C03431,-119.65,3.13514,0,,,,,,,
C03433,-361.96,1.41472,1,,,,,,,
C03434,-58.28,2.78772,-1,,,,,,,
C03437,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03438,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03440,-102.38,0.861325,-1,,,,,,,
C03441,-102.38,0.861325,-1,,,,,,,
C03442,-687.78,2.7339,-2,,,,,,,
C03443,-148.08,0.64326,-1,,,,,,,
C03444,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C03446,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03448,-76.53,6.15054,0,,,,,,,
C03450,-81,0.879729,0,,,,,,,
C03451,-291.21,1.7449,-1,,,,,,,
C03453,-166.47,0.644001,-2,,,,,,,
C03454,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03455,56.13,3.02129,0,,,,,,,
C03456,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03457,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03458,-70.26,1.45182,0,,,,,,,
C03459,-228.56,0.393011,-2,,,,,,,
C03460,-764.81,3.57802,-3,,,,,,,
C03461,45.43,1.52385,0,,,,,,,
C03462,-550.37,6.52556,2,,,,,,,
C03463,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03465,-109.64,0.396045,-1,,,,,,,
C03466,-761.64,3.58397,-3,,,,,,,
C03467,-112.1,0.35123,-1,,,,,,,
C03470,-172.84,3.81684,0,,,,,,,
C03473,-12.7,0.896706,1,,,,,,,
C03474,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C03475,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03476,-164.62,3.72522,-2,,,,,,,
C03479,-142.75,2.95739,-2,,,,,,,
C03483,-881.85,3.05534,-4,,,,,,,
C03484,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03485,-8.28,0.790983,0,,,,,,,
C03486,-527.84,2.17576,-1,,,,,,,
C03488,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03489,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03490,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03491,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03492,-401.04,0.837451,-2,,,,,,,
C03493,-92.15,0.896952,0,,,,,,,
C03494,-365.1,0.540959,-1,,,,,,,
C03495,-305.95,1.87168,-1,,,,,,,
C03497,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers|Unlabled atoms,,,,,,
C03498,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers|Unlabled atoms,,,,,,
C03499,-115.78,0.543809,0,,,,,,,
C03500,-107.76,0.537441,0,,,,,,,
C03501,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03502,-186.34,3.01155,0,,,,,,,
C03503,-197.84,3.26375,0,,,,,,,
C03505,-284.43,0.277976,-1,,,,,,,
C03506,-267.57,1.61288,-1,,,,,,,
C03508,-116.32,0.344132,0,,,,,,,
C03509,-401.52,0.721674,-1,,,,,,,
C03510,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C03511,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03512,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03514,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C03515,-349.22,3.21035,-1,,,,,,,
C03516,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C03517,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03518,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03519,-80.65,1.03736,-1,,,,,,,
C03521,-248.86,1.68121,0,,,,,,,
C03522,-44.18,1.0303,-1,,,,,,,
C03523,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03524,-225.3,3.54262,4,,,,,,,
C03525,-334.25,1.4377,0,,,,,,,
C03526,-288.13,2.15282,0,,,,,,,
C03527,0.35,1.22596,0,,,,,,,
C03529,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03530,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03531,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03533,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03535,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers|Unlabled atoms,,,,,,
C03536,-302.88,2.11344,0,,,,,,,
C03537,-37.59,0.933709,1,,,,,,,
C03539,-212.38,1.54729,0,,,,,,,
C03540,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03541,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03542,81.93,2.81013,0,,,,,,,
C03543,-158.28,5.5696,-2,,,,,,,
C03544,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03546,-432.46,1.44976,-1,,,,,,,
C03547,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03548,-178.72,1.86631,-2,,,,,,,
C03549,-71.75,1.10005,-1,,,,,,,
C03557,-208.01,0.51269,-1,,,,,,,
C03561,-820.63,3.56957,-3,,,,,,,
C03564,-60.71,1.16548,-1,,,,,,,
C03565,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03566,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03567,-113.81,2.2303,0,,,,,,,
C03568,-580.35,3.10735,-3,,,,,,,
C03569,-55.24,1.89213,0,,,,,,,
C03570,-183.03,1.51001,1,,,,,,,
C03571,-87.91,0.441332,0,,,,,,,
C03572,-127.4,1.14701,-2,,,,,,,
C03573,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03574,-32.53,1.12517,0,,,,,,,
C03575,23.37,1.57494,0,,,,,,,
C03576,-121.257,0.989453,-1,,,,,,,
C03577,-122.48,2.47603,-1,,,,,,,
C03578,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03579,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C03580,-428.51,6.55214,1,,,,,,,
C03581,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03582,-39.28,2.12524,0,,,,,,,
C03584,-127.8,1.40429,0,,,,,,,
C03585,-127.4,1.14701,-2,,,,,,,
C03586,-129.14,0.957758,-1,,,,,,,
C03587,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03588,-142.05,7.14186,0,,,,,,,
C03589,-147.49,0.37025,-1,,,,,,,
C03590,-118.47,0.930691,-1,,,,,,,
C03591,-56.37,1.379,0,,,,,,,
C03592,-93.45,1.87764,0,,,,,,,
C03594,-24.27,6.85549,0,,,,,,,
C03595,-689.59,4.10128,-3,,,,,,,
C03597,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03598,-634.09,2.96548,-2,,,,,,,
C03599,-634.09,2.96548,-2,,,,,,,
C03600,-264.18,0.575845,-3,,,,,,,
C03601,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C03603,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03604,-357.08,0.418843,-1,,,,,,,
C03606,-430.11,1.32587,-1,,,,,,,
C03607,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03610,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03611,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03613,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03614,-937.58,2.76782,-4,,,,,,,
C03617,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03618,-165.94,0.439565,-1,,,,,,,
C03619,-203.63,1.55566,0,,,,,,,
C03620,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03621,-3.23,1.72343,0,,,,,,,
C03622,34.22,1.67216,0,,,,,,,
C03623,-141.65,0.777467,-1,,,,,,,
C03624,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C03625,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03626,-58.71,1.91834,1,,,,,,,
C03627,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03629,-251.96,0.367208,-1,,,,,,,
C03630,-309.83,1.56696,-1,,,,,,,
C03631,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03632,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers|Unlabled atoms,,,,,,
C03633,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03634,-249.67,9.6661,0,,,,,,,
C03635,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03636,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03637,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03638,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03640,-174.89,2.4947,1,,,,,,,
C03641,-147.74,5.55595,0,,,,,,,
C03642,-270.423,7.29827,-2,,,,,,,
C03643,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03645,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03646,-373.57,2.02923,-2,,,,,,,
C03647,-122.92,1.17994,-2,,,,,,,
C03648,-158.66,2.32328,0,,,,,,,
C03649,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03651,-102.38,0.861325,-1,,,,,,,
C03652,-202.8,0.474233,-2,,,,,,,
C03654,-429.92,0.743783,-1,,,,,,,
C03656,-113.08,0.386345,0,,,,,,,
C03657,-122.199,2.22633,-1,,,,,,,
C03658,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03659,-205.31,1.50162,0,,,,,,,
C03660,-205.31,1.50162,0,,,,,,,
C03661,-537.02,4.05623,0,,,,,,,
C03662,-187,2.69108,0,,,,,,,
C03663,-80.96,1.10841,0,,,,,,,
C03664,-83.8,1.40072,-1,,,,,,,
C03665,-89.53,0.43251,0,,,,,,,
C03666,-204.67,1.21949,-3,,,,,,,
C03667,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03668,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03671,-206.35,1.49338,-2,,,,,,,
C03672,-125.78,0.906335,-1,,,,,,,
C03673,-776.25,3.07681,-4,,,,,,,
C03674,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03676,-161.52,1.07398,-2,,,,,,,
C03677,42.56,3.7488,1,,,,,,,
C03678,-122.53,0.347645,0,,,,,,,
C03679,37.36,5.01182,0,,,,,,,
C03680,-86.31,0.933345,-1,,,,,,,
C03681,-33.37,7.18652,0,,,,,,,
C03682,-140.87,0.814538,-1,,,,,,,
C03683,-129.64,4.9448,0,,,,,,,
C03684,-26.07,2.61479,0,,,,,,,
C03685,-806.32,3.6559,-3,,,,,,,
C03686,-100.34,5.01008,0,,,,,,,
C03687,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03688,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03690,-108.32,1.64677,0,,,,,,,
C03691,-646.51,3.0978,-2,,,,,,,
C03692,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03693,-643.28,1.49389,-2,,,,,,,
C03698,-134.998,1.95189,0,,,,,,,
C03701,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03702,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03703,-153.08,1.42276,-1,,,,,,,
C03706,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03707,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03708,-363.85,1.57573,-1,,,,,,,
C03709,-246.15,3.18071,-2,,,,,,,
C03710,-127.36,1.09984,-1,,,,,,,
C03711,-0.9,1.21282,1,,,,,,,
C03712,-77.46,2.10207,-1,,,,,,,
C03715,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03716,-186.37,0.525246,-1,,,,,,,
C03717,76.31,2.94516,0,,,,,,,
C03718,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03719,22.776,3.3423,0,,,,,,,
C03721,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03722,-119.77,1.47802,-2,,,,,,,
C03723,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03724,-814.76,4.29611,-4,,,,,,,
C03725,-381.48,1.74591,-1,,,,,,,
C03726,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03727,-155.36,0.830388,-1,,,,,,,
C03730,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03731,-566.52,4.89141,2,,,,,,,
C03733,-762.31,2.99384,-2,,,,,,,
C03734,-379.03,0.402619,-1,,,,,,,
C03735,-430.78,1.50566,-1,,,,,,,
C03736,-394.12,1.31756,-1,,,,,,,
C03737,-392.56,1.33764,-1,,,,,,,
C03738,-194.9,0.801736,-1,,,,,,,
C03739,-60.6,1.10737,0,,,,,,,
C03740,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03741,-111.43,0.363149,0,,,,,,,
C03742,-34.8,5.00194,0,,,,,,,
C03743,-128.34,1.37919,0,,,,,,,
C03747,-55.38,6.82195,0,,,,,,,
C03748,-55.38,6.82195,0,,,,,,,
C03750,-102.53,0.95103,-1,,,,,,,
C03752,-233.41,0.828858,0,,,,,,,
C03753,-20.36,1.85851,0,,,,,,,
C03754,-300.22,0.357846,-1,,,,,,,
C03755,-324.33,5.02791,3,,,,,,,
C03756,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03757,-74.28,5.04455,0,,,,,,,
C03758,-50.37,1.0936,1,,,,,,,
C03761,-200.99,0.443487,-2,,,,,,,
C03762,-57.72,1.29667,-1,,,,,,,
C03764,114.52,6.6185,0,,,,,,,
C03765,-36.66,0.874632,0,,,,,,,
C03766,3.24,4.99561,0,,,,,,,
C03767,-95.64,1.05848,-1,,,,,,,
C03768,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03771,-98.54,1.56413,0,,,,,,,
C03772,-36.26,7.19468,0,,,,,,,
C03773,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03775,-19.26,6.84542,0,,,,,,,
C03776,-210.37,1.39537,0,,,,,,,
C03779,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C03780,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03781,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03782,-209.82,0.517016,-1,,,,,,,
C03783,-395.53,1.48131,0,,,,,,,
C03785,-644.17,1.29798,-2,,,,,,,
C03786,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03788,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03789,-404.533,1.85114,-2,,,,,,,
C03790,-157.2,0.949886,-1,,,,,,,
C03791,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03792,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03793,-27.34,2.00732,1,,,,,,,
C03794,-408.89,3.07451,-3,,,,,,,
C03795,-0.7,3.01294,0,,,,,,,
C03796,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C03797,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C03798,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03799,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03800,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03801,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03802,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03803,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03804,-110.88,0.947198,0,,,,,,,
C03805,-332.19,1.6569,-1,,,,,,,
C03806,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03808,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03809,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C03811,-430.78,1.50566,-1,,,,,,,
C03816,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers|Unlabled atoms,,,,,,
C03817,-80.88,1.122,-1,,,,,,,
C03819,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03820,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03822,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03823,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C03824,-73.57,1.07977,0,,,,,,,
C03826,-183.72,0.442672,-1,,,,,,,
C03827,-183.91,0.504916,-1,,,,,,,
C03828,-322.12,1.21238,1,,,,,,,
C03829,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C03830,-106.56,1.75816,0,,,,,,,
