ENTRY,DELTAG,UNCERTAINTY,REASON ENERGY COULD NOT BE ESTIMATED
R00001,Not calculated,Not calculated,Atoms imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R04889,-9.803,1.17612,
R04890,-24.0227,1.03587,
R04891,-9.803,1.17612,
R04892,-9.803,1.17612,
R04893,-24.0227,1.03587,
R04894,-23.1527,1.36253,
R04895,-8.663,1.13385,
R04896,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R04897,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R04899,Not calculated,Not calculated,Atoms imbalanced
R04900,-1.7,0.632032,
R04901,0.75,1.13993,
R04902,-95.8267,1.31456,
R04903,-9.803,1.17612,
R04904,Not calculated,Not calculated,Charge imbalanced
R04905,-4.36,2.22091,
R04906,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R04907,-35.0397,1.95369,
R04908,-35.0397,1.95369,
R04909,3.09,0.5417,
R04910,-16.55,1.19027,
R04911,-0.503,1.01133,
R04913,Not calculated,Not calculated,Atoms imbalanced|H imbalanced|Involves groups with unknown energies
R04914,-13.787,1.86119,
R04915,-111.676,1.99109,
R04916,-9.803,1.17612,
R04917,-9.803,1.17612,
R04918,4.09,0.595908,
R04919,5.22,1.06983,
R04920,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R04921,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R04922,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R04923,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R04924,Not calculated,Not calculated,Involves unknown structures
R04925,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R04927,Not calculated,Not calculated,Involves unknown structures
R04928,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R04929,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R04930,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R04931,Not calculated,Not calculated,Atoms imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R04932,Not calculated,Not calculated,Charge imbalanced|Involves compounds with unlabeded atoms
R04933,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|Involves compounds with unlabeded atoms
R04934,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R04935,Not calculated,Not calculated,Atoms imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R04936,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R04937,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R04938,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R04939,Not calculated,Not calculated,Involves unknown structures|Involves compounds with unlabeded atoms
R04940,Not calculated,Not calculated,Involves unknown structures|Involves compounds with unlabeded atoms
R04941,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R04942,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R04943,Not calculated,Not calculated,Charge imbalanced|Involves compounds with unlabeded atoms
R04944,Not calculated,Not calculated,Involves unknown structures|Involves compounds with unlabeded atoms
R04945,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R04946,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R04947,Not calculated,Not calculated,Involves unknown structures
R04948,-1.7,0.632032,
R04949,Not calculated,Not calculated,Involves unknown structures
R04950,-4.054,1.28789,
R04951,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R04952,2.156,1.19377,
R04953,3.76,1.07969,
R04954,2.163,0.767366,
R04955,16.55,1.19027,
R04956,16.55,1.19027,
R04957,2.156,1.19377,
R04958,16.55,1.19027,
R04959,16.55,1.19027,
R04960,2.156,1.19377,
R04961,16.55,1.19027,
R04962,16.55,1.19027,
R04963,2.156,1.19377,
R04964,3.76,1.07969,
R04965,2.163,0.767366,
R04966,16.55,1.19027,
R04967,16.55,1.19027,
R04968,2.156,1.19377,
R04969,16.55,1.19027,
R04970,16.55,1.19027,
R04971,Not calculated,Not calculated,Involves unknown structures
R04972,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R04973,Not calculated,Not calculated,Involves unknown structures
R04975,Not calculated,Not calculated,Charge imbalanced|Involves compounds with unlabeded atoms
R04976,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R04977,Not calculated,Not calculated,Involves unknown structures
R04978,Not calculated,Not calculated,Involves unknown structures
R04979,Not calculated,Not calculated,Charge imbalanced
R04980,-95.8267,1.31456,
R04981,-4.36,2.22091,
R04982,-80.8267,1.92595,
R04983,-19.42,2.22868,
R04984,-95.4367,1.5848,
R04985,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R04986,-0.1,0.661856,
R04987,-95.8267,1.31456,
R04988,-4.36,2.22091,
R04989,Not calculated,Not calculated,Charge imbalanced
R04990,-19.42,2.22868,
R04992,-39.39,0.952903,
R04993,-19.42,2.22868,
R04994,Not calculated,Not calculated,Involves unknown structures
R04995,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R04996,-9.803,1.17612,
R04997,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R04998,-3.113,0.692797,
R04999,-2.597,1.82781,
R05000,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R05001,Not calculated,Not calculated,Atoms imbalanced
R05002,-1.7,0.632032,
R05010,Not calculated,Not calculated,Involves unknown structures
R05027,-1.7,0.632032,
R05028,-2.094,0.888971,
R05029,-2.2,4.24926,
R05030,-2.094,0.888971,
R05031,13.34,4.26731,
R05032,-1.7,0.632032,
R05033,-2.094,0.888971,
R05034,-2.2,4.24926,
R05035,-3.53,2.40602,
R05036,Not calculated,Not calculated,Involves groups with unknown energies
R05037,Not calculated,Not calculated,Involves groups with unknown energies
R05038,0.75,1.13993,
R05039,-110.08,0.830319,
R05040,Not calculated,Not calculated,Involves unknown structures
R05041,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05043,0,2,
R05044,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|Involves compounds with unlabeded atoms
R05045,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|Involves compounds with unlabeded atoms
R05046,-0.503,1.01133,
R05047,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R05048,0.62,1.30148,
R05049,-9.803,1.17612,
R05050,-9.803,1.17612,
R05051,Not calculated,Not calculated,Charge imbalanced
R05052,0,2,
R05053,0,2,
R05055,-0.463,0.848213,
R05056,-1.69,0.746806,
R05057,-0.03,0.618189,
R05058,14.53,2.17948,
R05059,Not calculated,Not calculated,Involves unknown structures
R05060,Not calculated,Not calculated,Involves unknown structures
R05061,Not calculated,Not calculated,Involves unknown structures
R05062,38.5,4.43222,
R05063,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R05064,-5.757,1.20727,
R05066,5.22,1.06983,
R05067,Not calculated,Not calculated,Involves unknown structures
R05068,6.22,1.09509,
R05069,2.46,0.183,
R05070,-6.747,0.684249,
R05071,2.46,0.183,
R05072,Not calculated,Not calculated,Involves unknown structures
R05073,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R05074,-4.35,1.46788,
R05075,3.614,1.17862,
R05076,0.053,0.8965,
R05077,Not calculated,Not calculated,Charge imbalanced
R05078,2.363,0.822643,
R05079,Not calculated,Not calculated,Charge imbalanced
R05080,1.7,0.632032,
R05081,0,2,
R05083,3.113,0.692797,
R05084,Not calculated,Not calculated,Involves unknown structures
R05085,0,2,
R05086,-2.317,0.735634,
R05087,-3.09,0.5417,
R05088,Not calculated,Not calculated,Atoms imbalanced|H imbalanced|Involves groups with unknown energies
R05089,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R05090,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R05091,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R05092,Not calculated,Not calculated,Involves groups with unknown energies
R05097,-106.47,0.775471,
R05098,Not calculated,Not calculated,Charge imbalanced
R05099,-9.803,1.17612,
R05100,14.843,1.32787,
R05102,Not calculated,Not calculated,Involves unknown structures
R05103,-2.156,1.19377,
R05104,-1.01,0.449129,
R05105,-4.5,0.23673,
R05106,Not calculated,Not calculated,Involves unknown structures
R05107,1.7,0.632032,
R05108,-1.7,0.632032,
R05109,-1.7,0.632032,
R05110,-1.7,0.632032,
R05111,-1.7,0.632032,
R05112,-3.113,0.692797,
R05113,-1.7,0.632032,
R05114,-1.7,0.632032,
R05115,3.113,0.692797,
R05116,-1.7,0.632032,
R05117,-3.113,0.692797,
R05118,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R05119,-9.803,1.17612,
R05120,-53.523,4.46619,
R05121,38.5,4.43222,
R05122,-48.837,4.87247,
R05123,-4.36,2.22091,
R05124,0.75,1.13993,
R05125,Not calculated,Not calculated,Involves groups with unknown energies
R05126,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R05127,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R05128,9.42,1.34798,
R05129,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R05130,-6.07,1.23155,
R05131,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R05132,-13.89,0.947877,
R05133,-3.113,0.692797,
R05134,-3.113,0.692797,
R05135,-7.733,2.15281,
R05136,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R05137,-10.98,1.88595,
R05138,13.463,0.870511,
R05140,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R05141,-3.113,0.692797,
R05142,-3.113,0.692797,
R05144,Not calculated,Not calculated,Involves unknown structures
R05145,Not calculated,Not calculated,Involves unknown structures
R05146,3.614,1.17862,
R05147,2.01,1.70129,
R05148,-70.4597,1.99926,
R05149,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05150,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05151,Not calculated,Not calculated,Involves unknown structures
R05152,Not calculated,Not calculated,Involves unknown structures
R05153,-103.72,1.60457,
R05154,-94.6067,1.28652,
R05155,-112.916,2.13057,
R05156,-92.1197,1.37304,
R05157,-61.2097,2.78693,
R05158,-95.8267,1.31456,
R05160,-96.1867,1.35632,
R05162,-4.36,2.22091,
R05163,Not calculated,Not calculated,Involves unknown structures
R05164,-1.7,0.632032,
R05165,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05166,-3.113,0.692797,
R05167,-1.703,0.889163,
R05168,-2.003,0.984391,
R05169,5.194,1.77693,
R05170,-4.723,0.88056,
R05171,7.45,0.828894,
R05172,2.467,0.744508,
R05173,-1.67,0.611992,
R05174,-6.257,0.852639,
R05175,Not calculated,Not calculated,Involves unknown structures
R05176,0,2,
R05177,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05179,Not calculated,Not calculated,Involves unknown structures
R05180,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05181,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05182,Not calculated,Not calculated,Involves unknown structures
R05183,Not calculated,Not calculated,Involves unknown structures
R05185,Not calculated,Not calculated,Involves unknown structures
R05186,Not calculated,Not calculated,Involves unknown structures
R05188,Not calculated,Not calculated,Involves unknown structures
R05189,Not calculated,Not calculated,Involves unknown structures
R05190,Not calculated,Not calculated,Involves unknown structures
R05191,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R05193,Not calculated,Not calculated,Involves unknown structures
R05196,Not calculated,Not calculated,Involves unknown structures
R05197,-6.354,0.856942,
R05198,-37.94,4.48972,
R05199,-13.89,0.947877,
R05200,-13.6897,1.9952,
R05201,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R05202,4.5,0.23673,
R05203,Not calculated,Not calculated,Involves unknown structures
R05204,Not calculated,Not calculated,Atoms imbalanced
R05205,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R05206,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R05207,0.463,0.848213,
R05208,-20.366,6.05588,
R05209,-2.143,0.675486,
R05210,92.7137,1.6262,
R05211,-6.74,2.32676,
R05212,-4.36,2.22091,
R05213,-4.36,2.22091,
R05214,-4.36,2.22091,
R05215,92.7137,1.6262,
R05216,-6.74,2.32676,
R05217,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05218,Not calculated,Not calculated,Charge imbalanced|Involves compounds with unlabeded atoms
R05219,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05220,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05221,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05222,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05223,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05224,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05225,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05226,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05227,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R05228,216.726,1.85755,
R05229,106.47,0.775471,
R05230,-7.304,0.707871,
R05231,5.22,1.06983,
R05232,3.67,1.09642,
R05233,Not calculated,Not calculated,Charge imbalanced
R05234,Not calculated,Not calculated,Charge imbalanced
R05235,-9.803,1.17612,
R05236,-18.763,1.35226,
R05237,Not calculated,Not calculated,Charge imbalanced
R05238,Not calculated,Not calculated,Charge imbalanced
R05239,-5.74,2.11303,
R05240,-11.78,2.07735,
R05241,-5.74,2.11303,
R05243,-16.6,2.03465,
R05244,-12.56,1.95487,
R05245,-74.4597,1.65833,
R05246,-72.8897,1.45185,
R05247,-71.0997,1.92229,
R05248,-72.0297,1.79441,
R05249,-95.8267,1.31456,
R05250,95.8267,1.31456,
R05251,Not calculated,Not calculated,Charge imbalanced
R05252,Not calculated,Not calculated,Charge imbalanced
R05253,-11.78,2.07735,
R05254,-11.78,2.07735,
R05255,Not calculated,Not calculated,Involves unknown structures
R05256,-68.7597,1.82547,
R05257,-72.0297,1.79441,
R05258,Not calculated,Not calculated,Involves groups with unknown energies
R05259,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05260,Not calculated,Not calculated,Involves unknown structures
R05261,-77.1397,2.0778,
R05262,-77.1397,2.0778,
R05263,-80.8197,2.25067,
R05264,-80.8197,2.25067,
R05265,Not calculated,Not calculated,Charge imbalanced|Involves groups with unknown energies
R05266,-96.2567,1.54199,
R05267,Not calculated,Not calculated,Involves groups with unknown energies
R05268,Not calculated,Not calculated,Charge imbalanced|Involves groups with unknown energies
R05269,Not calculated,Not calculated,Involves groups with unknown energies
R05270,Not calculated,Not calculated,Atoms imbalanced|Involves compounds with unlabeded atoms
R05271,3.67,1.09642,
R05272,-9.803,1.17612,
R05273,118.577,1.27799,
R05274,-102.197,1.42768,
R05275,-11.78,2.07735,
R05276,Not calculated,Not calculated,Involves groups with unknown energies
R05277,Not calculated,Not calculated,Charge imbalanced
R05278,-95.6397,1.58564,
R05279,Not calculated,Not calculated,Charge imbalanced
R05280,Not calculated,Not calculated,Charge imbalanced
R05281,-92.5767,1.27653,
R05282,3.67,1.09642,
R05283,5.22,1.06983,
R05284,Not calculated,Not calculated,Involves groups with unknown energies
R05285,-38.5,4.43222,
R05286,-9.803,1.17612,
R05287,Not calculated,Not calculated,Involves groups with unknown energies
R05288,-96.2567,1.54199,
R05289,-9.803,1.17612,
R05290,-70.4597,1.99926,
R05291,-70.4597,1.99926,
R05292,-12.52,2.05839,
R05293,-12.52,2.05839,
R05294,-83.0372,1.52295,
R05295,-72.0097,1.62156,
R05296,-12.643,1.2819,
R05297,-3.713,0.728869,
R05298,-0.75,0.292867,
R05299,-95.6397,1.58564,
R05300,0.39,1.44037,
R05301,-110.257,1.30139,
R05302,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R05303,4.36,2.22091,
R05304,0,2,
R05305,3.76,1.07969,
R05307,-5.246,1.59177,
R05308,-9.83,1.65869,
R05309,-12.52,2.05839,
R05310,-22.14,2.69534,
R05311,16.55,1.19027,
R05312,-22.14,2.69534,
R05313,-10.56,1.98449,
R05314,-12.52,2.05839,
R05315,2.3,1.11438,
R05316,Not calculated,Not calculated,Involves unknown structures
R05317,-21.7797,1.06116,
R05318,Not calculated,Not calculated,Involves unknown structures
R05319,-84.6797,1.20654,
R05320,-104.657,1.18075,
R05321,-90.6737,1.61528,
R05322,-90.6737,1.61528,
R05323,-4.36,2.22091,
R05324,Not calculated,Not calculated,Involves unknown structures
R05325,Not calculated,Not calculated,Involves unknown structures
R05326,-0.796,0.676477,
R05327,Not calculated,Not calculated,Involves unknown structures|Involves compounds with unlabeded atoms
R05328,-1.7,0.632032,
R05329,-4.98,1.03693,
R05330,5.246,1.09265,
R05331,0.204,4.81404,
R05332,-5.294,1.25997,
R05333,0,2,
R05334,-24.0227,1.03587,
R05335,-5.597,1.49759,
R05336,-1.54,0.523643,
R05337,1.243,0.67277,
R05338,-5.22,0.537852,
R05339,-1.75,1.28569,
R05340,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R05341,-20.13,1.4614,
R05344,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R05345,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R05346,Not calculated,Not calculated,Involves unknown structures
R05347,3.67,1.09642,
R05348,3.67,1.09642,
R05349,-0.8,1.21336,
R05350,-0.8,1.21336,
R05351,-22.256,2.35549,
R05352,Not calculated,Not calculated,Involves unknown structures
R05353,-9.803,1.17612,
R05354,-10.56,1.98449,
R05355,Not calculated,Not calculated,Involves groups with unknown energies
R05356,-2.243,1.58369,
R05357,-3.903,1.68444,
R05358,0.254,5.05351,
R05359,-11.923,0.712902,
R05360,-11.923,0.712902,
R05361,-2.143,0.675486,
R05362,-11.923,0.712902,
R05363,-11.923,0.712902,
R05364,-11.923,0.712902,
R05365,-11.923,0.712902,
R05366,-11.923,0.712902,
R05367,Not calculated,Not calculated,Involves groups with unknown energies
R05368,Not calculated,Not calculated,Involves groups with unknown energies
R05369,Not calculated,Not calculated,Involves groups with unknown energies
R05370,Not calculated,Not calculated,Involves groups with unknown energies
R05371,Not calculated,Not calculated,Involves groups with unknown energies
R05372,Not calculated,Not calculated,Involves groups with unknown energies
R05373,-3.09,0.5417,
R05374,3.41,0.869975,
R05375,-0.1,0.661856,
R05376,3.09,0.5417,
R05377,-0.98,0.730562,
R05378,2.56,0.379627,
R05379,-4.977,4.97882,
R05380,101.793,9.54561,
R05381,7.34,1.07011,
R05382,-4.69,1.57341,
R05383,6.44,0.702082,
R05384,Not calculated,Not calculated,Involves groups with unknown energies
R05385,Not calculated,Not calculated,Involves groups with unknown energies
R05386,Not calculated,Not calculated,Involves groups with unknown energies
R05387,Not calculated,Not calculated,Involves groups with unknown energies
R05388,Not calculated,Not calculated,Involves groups with unknown energies
R05389,-4.39,0.979428,
R05390,Not calculated,Not calculated,Involves groups with unknown energies
R05391,Not calculated,Not calculated,Involves groups with unknown energies
R05392,Not calculated,Not calculated,Involves groups with unknown energies
R05393,Not calculated,Not calculated,Involves groups with unknown energies
R05394,0.52,1.34849,
R05395,-11.78,2.07735,
R05396,-11.78,2.07735,
R05397,-11.78,2.07735,
R05398,Not calculated,Not calculated,Involves unknown structures
R05399,-12.95,2.1963,
R05400,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05401,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05402,Not calculated,Not calculated,Involves groups with unknown energies
R05403,Not calculated,Not calculated,Involves groups with unknown energies
R05404,-69.6397,1.60453,
R05405,-71.6497,1.50195,
R05406,-72.0097,1.62156,
R05407,-94.7597,1.8089,
R05408,Not calculated,Not calculated,Involves groups with unknown energies
R05409,-94.7597,1.8089,
R05410,-58.5197,2.82362,
R05411,-74.4597,1.65833,
R05412,-61.7897,2.86558,
R05413,-95.7797,1.90544,
R05414,-82.1097,3.17014,
R05415,-74.4597,1.65833,
R05416,-72.9097,1.5691,
R05417,-75.9997,2.13045,
R05418,-99.6397,1.11881,
R05419,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R05420,3.3095,1.50439,
R05421,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05422,Not calculated,Not calculated,Charge imbalanced
R05423,Not calculated,Not calculated,Charge imbalanced
R05424,Not calculated,Not calculated,Charge imbalanced
R05425,-87.3597,1.85226,
R05426,Not calculated,Not calculated,Charge imbalanced
R05427,-76.3797,0.62599,
R05428,-70.4597,1.99926,
R05429,-71.0997,1.92229,
R05430,Not calculated,Not calculated,Charge imbalanced
R05431,Not calculated,Not calculated,Charge imbalanced
R05432,Not calculated,Not calculated,Charge imbalanced
R05433,Not calculated,Not calculated,Charge imbalanced
R05434,-82.8697,3.24811,
R05435,Not calculated,Not calculated,Charge imbalanced
R05436,Not calculated,Not calculated,Charge imbalanced
R05437,Not calculated,Not calculated,Charge imbalanced
R05438,Not calculated,Not calculated,Charge imbalanced
R05439,-72.2497,3.75038,
R05440,-75.9997,2.13045,
R05441,-95.8267,1.31456,
R05442,-96.2567,1.54199,
R05443,-96.2567,1.54199,
R05444,-89.6067,2.44517,
R05445,Not calculated,Not calculated,Involves groups with unknown energies
R05446,Not calculated,Not calculated,Involves groups with unknown energies
R05447,Not calculated,Not calculated,Involves groups with unknown energies
R05448,-95.8267,1.31456,
R05449,Not calculated,Not calculated,Involves groups with unknown energies
R05450,-95.8267,1.31456,
R05451,-2.486,1.23168,
R05452,-2.486,1.23168,
R05453,4.9,0.530953,
R05454,15.393,3.76672,
R05455,9.636,3.89374,
R05456,Not calculated,Not calculated,Charge imbalanced|Involves groups with unknown energies
R05457,Not calculated,Not calculated,Charge imbalanced
R05458,Not calculated,Not calculated,Involves unknown structures
R05459,-8.82,1.90815,
R05460,Not calculated,Not calculated,Involves unknown structures
R05461,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R05462,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R05463,Not calculated,Not calculated,Atoms imbalanced
R05464,Not calculated,Not calculated,Involves unknown structures
R05465,-29.494,1.09996,
R05466,-108.28,0.782868,
R05467,-6.96,1.41201,
R05468,-118.487,2.07491,
R05469,-88.4867,2.347,
R05470,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R05471,Not calculated,Not calculated,Charge imbalanced
R05472,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R05473,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R05474,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R05475,-82.8797,0.886587,
R05476,Not calculated,Not calculated,Charge imbalanced|Involves groups with unknown energies
R05477,Not calculated,Not calculated,Involves groups with unknown energies
R05478,-8.957,1.11885,
R05479,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R05480,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R05481,Not calculated,Not calculated,Charge imbalanced
R05482,Not calculated,Not calculated,Involves unknown structures
R05483,Not calculated,Not calculated,Involves groups with unknown energies
R05484,Not calculated,Not calculated,Involves groups with unknown energies
R05485,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05486,Not calculated,Not calculated,Involves groups with unknown energies
R05487,-95.8267,1.31456,
R05488,Not calculated,Not calculated,Charge imbalanced|Involves compounds with unlabeded atoms
R05489,Not calculated,Not calculated,Involves unknown structures
R05490,Not calculated,Not calculated,Involves unknown structures
R05491,Not calculated,Not calculated,Involves unknown structures
R05492,Not calculated,Not calculated,Charge imbalanced
R05493,-99.6397,1.11881,
R05494,Not calculated,Not calculated,Involves unknown structures
R05495,Not calculated,Not calculated,Charge imbalanced
R05496,Not calculated,Not calculated,Involves unknown structures
R05497,Not calculated,Not calculated,Charge imbalanced|Involves groups with unknown energies
R05498,Not calculated,Not calculated,Charge imbalanced|Involves groups with unknown energies
R05499,Not calculated,Not calculated,Charge imbalanced|Involves groups with unknown energies
R05500,Not calculated,Not calculated,Charge imbalanced|Involves groups with unknown energies
R05501,Not calculated,Not calculated,Charge imbalanced|Involves groups with unknown energies
R05502,Not calculated,Not calculated,Charge imbalanced|Involves groups with unknown energies
R05503,Not calculated,Not calculated,Charge imbalanced|Involves groups with unknown energies
R05504,Not calculated,Not calculated,Charge imbalanced|Involves groups with unknown energies
R05505,Not calculated,Not calculated,Involves unknown structures
R05506,-7.056,1.08737,
R05507,-1,0.351998,
R05508,1.54,0.523643,
R05509,-1.54,0.523643,
R05510,-24.013,2.53253,
R05511,-23.463,2.45949,
R05512,Not calculated,Not calculated,Involves unknown structures
R05513,6.22,1.09509,
R05514,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R05515,-5.22,1.06983,
R05516,-0.89,0.608878,
R05517,0,2,
R05518,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R05519,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05520,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05521,Not calculated,Not calculated,Atoms imbalanced|Involves compounds with unlabeded atoms
R05522,Not calculated,Not calculated,Atoms imbalanced|Involves compounds with unlabeded atoms
R05523,Not calculated,Not calculated,Atoms imbalanced
R05524,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R05525,-23.57,4.51749,
R05526,Not calculated,Not calculated,Charge imbalanced
R05527,0,2,
R05528,-20.33,2.23006,
R05529,Not calculated,Not calculated,Charge imbalanced
R05530,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05531,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05532,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05533,Not calculated,Not calculated,Charge imbalanced|Involves groups with unknown energies
R05534,Not calculated,Not calculated,Charge imbalanced|Involves groups with unknown energies
R05535,Not calculated,Not calculated,Involves groups with unknown energies
R05536,Not calculated,Not calculated,Charge imbalanced|Involves groups with unknown energies
R05537,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R05538,-22.443,2.40671,
R05539,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R05540,130.96,1.33725,
R05541,-86.5597,1.23865,
R05542,-86.5597,1.23865,
R05543,-30.267,2.53513,
R05544,-17.623,2.51375,
R05545,Not calculated,Not calculated,Atoms imbalanced
R05546,-8.95,1.87957,
R05547,0,2,
R05548,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R05549,-3.113,0.692797,
R05551,4.723,0.88056,
R05552,-2.467,0.744508,
R05553,-36.97,1.63791,
R05554,2.467,0.744508,
R05555,-13,0.667887,
R05556,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R05558,Not calculated,Not calculated,Involves groups with unknown energies
R05559,7.967,0.754664,
R05560,7.967,0.754664,
R05561,-42.696,2.74861,
R05562,-8.593,1.70968,
R05563,-4.723,0.88056,
R05564,-93.4397,1.74152,
R05565,-83.5797,1.68152,
R05566,-1.7,0.632032,
R05567,-83.5797,1.68152,
R05568,-93.4397,1.74152,
R05569,3.707,0.790846,
R05570,-13.89,0.947877,
R05571,2.01,1.70129,
R05572,Not calculated,Not calculated,Involves groups with unknown energies
R05573,7.967,0.754664,
R05574,3.707,0.790846,
R05575,2.21,1.10605,
R05576,3.76,1.07969,
R05577,-7.34,0.814736,
R05578,-7.34,0.814736,
R05579,Not calculated,Not calculated,Involves unknown structures
R05580,-1.7,0.632032,
R05581,0.75,1.13993,
